account_rewards,date
5763.374959915178,2018-01-02
-103179.66381217563,2018-01-03
135653.82320978562,2018-01-04
6114.254200187745,2018-01-05
39136.75569046009,2018-01-08
-87052.86158959568,2018-01-09
45721.963781784056,2018-01-10
-53325.6113519402,2018-01-11
154264.24451828387,2018-01-12
-19378.226348571712,2018-01-16
-35038.634966709185,2018-01-17
-128323.5253564606,2018-01-18
152695.56888371287,2018-01-19
-48364.33067230228,2018-01-22
-26367.23499790195,2018-01-23
-43271.91681081394,2018-01-24
-22362.727160461363,2018-01-25
251387.12829248805,2018-01-26
-100595.95061699674,2018-01-29
19587.153362014797,2018-01-30
4527.232586524915,2018-01-31
-21972.89942526631,2018-02-01
-314049.3464752578,2018-02-02
-1972.3580238990253,2018-02-05
205774.50742469786,2018-02-06
-140337.60515260312,2018-02-07
95534.8206190567,2018-02-08
-262630.65170212556,2018-02-09
311008.9487048836,2018-02-12
-21272.40336419677,2018-02-13
299649.82440473547,2018-02-14
-393549.1149021911,2018-02-15
105438.63795472716,2018-02-16
-32769.69765472412,2018-02-20
-228021.5747642517,2018-02-21
290308.69705010985,2018-02-22
-2623.8743286132812,2018-02-23
-39513.143337249756,2018-02-26
-108119.31121444702,2018-02-27
103906.32493655395,2018-02-28
-75611.50812495034,2018-03-01
81491.53982543945,2018-03-02
-303333.54911751556,2018-03-05
302578.23810597986,2018-03-06
18023.439624786377,2018-03-07
-54943.25785446167,2018-03-08
11637.288368225098,2018-03-09
162581.30319213867,2018-03-12
-527182.3691859436,2018-03-13
610683.1869631233,2018-03-14
-445691.19291568745,2018-03-15
-12743.60277885443,2018-03-16
207488.44910678104,2018-03-19
-2363.8890989074716,2018-03-20
-123272.51623701095,2018-03-21
55649.8011626167,2018-03-22
-51225.00364327617,2018-03-23
86019.31908416748,2018-03-26
-329473.63709640503,2018-03-27
331853.035817688,2018-03-28
-24032.150859832764,2018-03-29
271203.5705337523,2018-04-02
-386199.81283187855,2018-04-03
145954.13311386108,2018-04-04
-48699.60744857788,2018-04-05
-283773.9422531128,2018-04-06
351260.7131996155,2018-04-09
-27457.10419845581,2018-04-10
-36706.574531555176,2018-04-11
-36240.330711364746,2018-04-12
69717.67972239689,2018-04-13
-78637.59280063631,2018-04-16
123906.60641098022,2018-04-17
-336099.40550613403,2018-04-18
335934.51570129395,2018-04-19
-31797.40934753418,2018-04-20
-31609.623390197754,2018-04-23
15625.781600952148,2018-04-24
205990.70298176573,2018-04-25
-569710.4559280053,2018-04-26
631638.7404510919,2018-04-27
-402289.82361467753,2018-04-30
-75057.5295166435,2018-05-01
174454.76899396128,2018-05-02
84065.0358649788,2018-05-03
-64415.5711517334,2018-05-04
681.4485611801501,2018-05-07
-110906.22328517155,2018-05-08
171483.08129882812,2018-05-09
-328326.7510795593,2018-05-10
341604.0456718941,2018-05-11
-68857.0433959961,2018-05-14
8998.823459625244,2018-05-15
39732.53394317627,2018-05-16
236201.1748292999,2018-05-17
-478422.69453445054,2018-05-18
313549.67179107666,2018-05-21
-405283.85512542725,2018-05-22
228244.40563201904,2018-05-23
-59783.004943847656,2018-05-24
412041.73905944824,2018-05-25
-290819.2739215811,2018-05-29
-42225.925011985935,2018-05-30
-257228.62478636927,2018-05-31
238360.41800308228,2018-06-01
-232617.4659538269,2018-06-04
349226.7215766907,2018-06-05
-55416.23575973511,2018-06-06
67939.00361251831,2018-06-07
3614.3539962768555,2018-06-08
221557.65814590442,2018-06-11
-626260.7538212584,2018-06-12
661944.8884048462,2018-06-13
-431360.3515978089,2018-06-14
-130682.1678314209,2018-06-15
211917.0845565796,2018-06-18
56796.77752685547,2018-06-19
-27796.111366271973,2018-06-20
-2595.0098991394043,2018-06-21
-165896.7018699646,2018-06-22
189850.54779815674,2018-06-25
-339823.7755317688,2018-06-26
329322.3811607361,2018-06-27
-57223.96700286865,2018-06-28
346342.83229064953,2018-06-29
-503430.1157462464,2018-07-02
167112.1736908378,2018-07-03
514.7796020507812,2018-07-05
-253401.22742462158,2018-07-06
337015.54569244385,2018-07-09
-63202.01675033569,2018-07-10
-565.1491432189941,2018-07-11
42681.06742858887,2018-07-12
14818.469171295175,2018-07-13
-185749.8931465149,2018-07-16
201715.09426879883,2018-07-17
-340509.057056427,2018-07-18
324454.31659317017,2018-07-19
-56372.25732421875,2018-07-20
-3043.8465270996094,2018-07-23
119357.41746520996,2018-07-24
179767.23211288452,2018-07-25
-613753.1009491805,2018-07-26
663450.5749931335,2018-07-27
-424681.5619591904,2018-07-30
-184394.11159712216,2018-07-31
263809.8593902588,2018-08-01
67363.94716644287,2018-08-02
-12548.885608673096,2018-08-03
13897.935314674396,2018-08-06
-219314.18676259613,2018-08-07
225163.02684402466,2018-08-08
-338381.9227409363,2018-08-09
331518.4165635909,2018-08-10
-69167.74678802479,2018-08-13
1876.6521377563477,2018-08-14
129495.88725662231,2018-08-15
238195.17832946777,2018-08-16
-459080.75935644156,2018-08-17
220506.2241821289,2018-08-20
-380446.1802625656,2018-08-21
160855.6881398888,2018-08-22
-63222.08403044124,2018-08-23
543557.5209732056,2018-08-24
-304313.653381485,2018-08-27
-102402.89955604554,2018-08-28
-223182.67617416382,2018-08-29
166436.61939239502,2018-08-30
-168602.58137130737,2018-08-31
338762.9673690796,2018-09-04
-73802.95071411133,2018-09-05
76888.18515014648,2018-09-06
51926.253013610956,2018-09-07
160212.71060180664,2018-09-10
-612200.9066166001,2018-09-11
705843.359966278,2018-09-12
-446443.2957382201,2018-09-13
-207644.19733428955,2018-09-14
291088.28018951416,2018-09-17
68466.53450012207,2018-09-18
-16270.407722473145,2018-09-19
43710.77413558948,2018-09-20
-267991.8985595702,2018-09-21
232530.46895217896,2018-09-24
-334539.9848060608,2018-09-25
331394.3709831238,2018-09-26
-53054.33695220947,2018-09-27
347060.6513671874,2018-09-28
-530787.4649963378,2018-10-01
184457.71633911133,2018-10-02
-17457.298538208124,2018-10-03
-262328.9561462401,2018-10-04
341969.9711151123,2018-10-05
-73943.06586456299,2018-10-08
-22402.650680541992,2018-10-09
44146.25556182861,2018-10-10
35364.088218688965,2018-10-11
-273992.2695045471,2018-10-12
277681.07482528687,2018-10-15
-336535.21478271484,2018-10-16
326158.8922729492,2018-10-17
-73261.38752746582,2018-10-18
-7055.870666503906,2018-10-19
94443.62182617188,2018-10-22
239303.0814323424,2018-10-23
-666547.4494743346,2018-10-24
706236.6317100524,2018-10-25
-447946.3750801085,2018-10-26
-223153.35440826416,2018-10-29
285557.23363494873,2018-10-30
82047.21747589111,2018-10-31
6780.727523803711,2018-11-01
30324.585361480713,2018-11-02
-289912.27462387085,2018-11-05
294373.08852386475,2018-11-06
-330028.1524810791,2018-11-07
336269.62561798096,2018-11-08
-112325.08068084717,2018-11-09
-29754.24993133545,2018-11-12
260157.52931976307,2018-11-13
-3021.737403869629,2018-11-14
4833.9993324279785,2018-11-15
-22492.323726654053,2018-11-16
-14111.337726593018,2018-11-19
-10861.128086090088,2018-11-20
-5682.475582237123,2018-11-21
11925.248611434828,2018-11-23
14113.824791915948,2018-11-26
38385.80567805865,2018-11-27
11823.783401611261,2018-11-28
8540.201441425364,2018-11-29
19278.0916595459,2018-11-30
-33056.06987762451,2018-12-03
-16338.776874542236,2018-12-04
-439313.69288635254,2018-12-06
419120.5901025201,2018-12-07
-1486.7076831054874,2018-12-10
9556.523006439209,2018-12-11
1607.7032775878906,2018-12-12
-49002.61107635498,2018-12-13
-21610.66307449341,2018-12-14
11778.163543701172,2018-12-17
-409331.9019393921,2018-12-18
371307.7943992615,2018-12-19
-16824.73875427246,2018-12-20
-33843.024421691895,2018-12-21
-331734.1286430359,2018-12-24
390427.2917327881,2018-12-26
-277151.4139442444,2018-12-27
87575.54309463501,2018-12-28
