,date,actions
0,2018-01-02,[92]
1,2018-01-03,[89]
2,2018-01-04,[100]
3,2018-01-05,[85]
4,2018-01-08,[100]
5,2018-01-09,[100]
6,2018-01-10,[97]
7,2018-01-11,[93]
8,2018-01-12,[100]
9,2018-01-16,[100]
10,2018-01-17,[100]
11,2018-01-18,[96]
12,2018-01-19,[100]
13,2018-01-22,[86]
14,2018-01-23,[100]
15,2018-01-24,[92]
16,2018-01-25,[100]
17,2018-01-26,[89]
18,2018-01-29,[95]
19,2018-01-30,[99]
20,2018-01-31,[100]
21,2018-02-01,[92]
22,2018-02-02,[100]
23,2018-02-05,[85]
24,2018-02-06,[100]
25,2018-02-07,[100]
26,2018-02-08,[100]
27,2018-02-09,[91]
28,2018-02-12,[100]
29,2018-02-13,[100]
30,2018-02-14,[100]
31,2018-02-15,[100]
32,2018-02-16,[100]
33,2018-02-20,[100]
34,2018-02-21,[100]
35,2018-02-22,[100]
36,2018-02-23,[95]
37,2018-02-26,[91]
38,2018-02-27,[100]
39,2018-02-28,[87]
40,2018-03-01,[99]
41,2018-03-02,[81]
42,2018-03-05,[90]
43,2018-03-06,[100]
44,2018-03-07,[100]
45,2018-03-08,[100]
46,2018-03-09,[88]
47,2018-03-12,[88]
48,2018-03-13,[100]
49,2018-03-14,[100]
50,2018-03-15,[91]
51,2018-03-16,[100]
52,2018-03-19,[100]
53,2018-03-20,[96]
54,2018-03-21,[90]
55,2018-03-22,[96]
56,2018-03-23,[99]
57,2018-03-26,[81]
58,2018-03-27,[86]
59,2018-03-28,[82]
60,2018-03-29,[86]
61,2018-04-02,[91]
62,2018-04-03,[92]
63,2018-04-04,[100]
64,2018-04-05,[100]
65,2018-04-06,[96]
66,2018-04-09,[100]
67,2018-04-10,[100]
68,2018-04-11,[92]
69,2018-04-12,[99]
70,2018-04-13,[92]
71,2018-04-16,[100]
72,2018-04-17,[92]
73,2018-04-18,[98]
74,2018-04-19,[85]
75,2018-04-20,[97]
76,2018-04-23,[100]
77,2018-04-24,[94]
78,2018-04-25,[84]
79,2018-04-26,[100]
80,2018-04-27,[87]
81,2018-04-30,[100]
82,2018-05-01,[100]
83,2018-05-02,[83]
84,2018-05-03,[100]
85,2018-05-04,[89]
86,2018-05-07,[91]
87,2018-05-08,[77]
88,2018-05-09,[92]
89,2018-05-10,[95]
90,2018-05-11,[85]
91,2018-05-14,[100]
92,2018-05-15,[91]
93,2018-05-16,[98]
94,2018-05-17,[100]
95,2018-05-18,[100]
96,2018-05-21,[100]
97,2018-05-22,[98]
98,2018-05-23,[97]
99,2018-05-24,[100]
100,2018-05-25,[94]
101,2018-05-29,[75]
102,2018-05-30,[96]
103,2018-05-31,[99]
104,2018-06-01,[100]
105,2018-06-04,[100]
106,2018-06-05,[100]
107,2018-06-06,[97]
108,2018-06-07,[100]
109,2018-06-08,[82]
110,2018-06-11,[100]
111,2018-06-12,[79]
112,2018-06-13,[84]
113,2018-06-14,[100]
114,2018-06-15,[89]
115,2018-06-18,[87]
116,2018-06-19,[98]
