account_rewards,date
168.51603546141996,2018-01-08
-129.68205828857026,2018-01-09
-1329.7403292236268,2018-01-10
6010.287723693851,2018-01-11
1328.583969116211,2018-01-12
-69.77204516599886,2018-01-16
-198.33093031312455,2018-01-17
2480.150596176187,2018-01-18
2187.6256450958026,2018-01-19
-191.74136657716008,2018-01-22
1304.499943618779,2018-01-23
3624.6835048522917,2018-01-24
637.496294387849,2018-01-25
455.62169793699286,2018-01-26
-3911.5763517303567,2018-01-29
-205.59892936705728,2018-01-30
605.107276290888,2018-01-31
1444.261962051416,2018-02-01
-6843.637464569096,2018-02-02
4611.099563110358,2018-02-05
-147.14792700193357,2018-02-06
-6116.925722717278,2018-02-07
3236.9587115936447,2018-02-08
3684.240804107685,2018-02-09
812.1110697631375,2018-02-12
23521.831461730995,2018-02-13
3609.5075054321205,2018-02-14
-15606.950281066878,2018-02-15
-2207.6746154174616,2018-02-16
-1312.9625478820817,2018-02-20
1805.257214355457,2018-02-21
2576.3524291687063,2018-02-22
2922.8153106994578,2018-02-23
-1080.1638267211674,2018-02-26
14436.774281707767,2018-02-27
-14672.007151550322,2018-02-28
527.7291010589688,2018-03-01
2093.4271048583905,2018-03-02
-801.6119518127234,2018-03-05
603.9574399414123,2018-03-06
-1513.3662200927793,2018-03-07
33979.075207031274,2018-03-08
1767.0346282958635,2018-03-09
-20392.577171325625,2018-03-12
-1702.6355313110398,2018-03-13
3681.147241058323,2018-03-14
-1418.2109893646557,2018-03-15
-2895.244012786803,2018-03-16
1263.1331521758693,2018-03-19
-2976.228910156293,2018-03-20
14299.561276245164,2018-03-21
-16191.236939880357,2018-03-22
5985.278565368673,2018-03-23
-1558.3842581177014,2018-03-26
767.9893110962003,2018-03-27
-3989.7830709991104,2018-03-28
3204.433945205674,2018-03-29
28124.389273071312,2018-04-02
-12214.481997680705,2018-04-03
315.4963299560768,2018-04-04
-5768.005304779072,2018-04-05
-1386.4099884033203,2018-04-06
4576.143188476533,2018-04-09
-5481.30756796262,2018-04-10
31602.181124130322,2018-04-11
-24397.328012084996,2018-04-12
5333.784516479471,2018-04-13
8052.796269927989,2018-04-16
-2241.3784580230713,2018-04-17
-621.8173432007316,2018-04-18
-916.8832717284677,2018-04-19
-811.0196826324682,2018-04-20
505.97327957162634,2018-04-23
-176.8388488769997,2018-04-24
2300.054214477481,2018-04-25
3434.455616119434,2018-04-26
-4045.5558894348214,2018-04-27
343.8950184173882,2018-04-30
-3693.9099806518643,2018-05-01
-5487.81155627445,2018-05-02
1713.273966278095,2018-05-03
6155.245195648167,2018-05-04
-2007.5209094543243,2018-05-07
-3227.1150260161958,2018-05-08
5143.136444091797,2018-05-09
5223.126983642578,2018-05-10
5280.3140258789645,2018-05-11
-3616.0327823486878,2018-05-14
-6306.580632782017,2018-05-15
10634.10211328126,2018-05-16
1865.4359797363868,2018-05-17
3430.794537673937,2018-05-18
-2807.0446454925695,2018-05-21
-937.1838542480837,2018-05-22
-1504.6825201415922,2018-05-23
2096.8749414062477,2018-05-24
-23162.661616210942,2018-05-25
25460.01777496346,2018-05-29
-3403.5375837708125,2018-05-30
2183.197532272374,2018-05-31
1527.6527291259845,2018-06-01
-424.4737091064453,2018-06-04
4872.614074707031,2018-06-05
510.8800964355469,2018-06-06
-19030.57174771122,2018-06-07
28192.015189361584,2018-06-08
-221.54815063468413,2018-06-11
-734.1209838105133,2018-06-12
2698.942092895508,2018-06-13
1578.3490520477644,2018-06-14
-1284.4631339722546,2018-06-15
-28605.418376693735,2018-06-18
31704.33407873544,2018-06-19
-1116.1227758788737,2018-06-20
2068.5338503723033,2018-06-21
-4288.766228088411,2018-06-22
-983.5386897125281,2018-06-25
-1894.5740792998695,2018-06-26
-2131.963630081271,2018-06-27
-420.0425567626371,2018-06-28
-16447.0626003113,2018-06-29
23848.957944824302,2018-07-02
3694.820727233833,2018-07-03
520.3057384032873,2018-07-05
3738.9775543213473,2018-07-06
1021.0483556824038,2018-07-09
-1156.3541934204986,2018-07-10
-1815.064584716747,2018-07-11
11255.498785156233,2018-07-12
1274.1385260925163,2018-07-13
-4314.789477233891,2018-07-16
3447.33422290039,2018-07-17
-2602.03227760311,2018-07-18
1510.423971054086,2018-07-19
1818.4839766692603,2018-07-20
18592.83398117067,2018-07-23
-10406.444942413305,2018-07-24
1300.061071502685,2018-07-25
23.657738494861405,2018-07-26
382.57574095152086,2018-07-27
-1557.484085021948,2018-07-30
-1386.8976715087774,2018-07-31
27724.708532501187,2018-08-01
1131.2544293975225,2018-08-02
-18783.762747924717,2018-08-03
1667.4659011841286,2018-08-06
-1249.8333777771331,2018-08-07
-2592.3424062195118,2018-08-08
-4473.769365707412,2018-08-09
-3206.462091064488,2018-08-10
3351.1066314697964,2018-08-13
50464.90957469179,2018-08-14
-39527.64030168153,2018-08-15
381.76830543519463,2018-08-16
2440.1324462280027,2018-08-17
3050.614666870155,2018-08-20
763.513866577181,2018-08-21
-3643.5275799409137,2018-08-22
-1618.3321395872626,2018-08-23
56232.88004718005,2018-08-24
-40714.295646972605,2018-08-27
-240.46307600405999,2018-08-28
-2331.303917724581,2018-08-29
-1723.4566127014114,2018-08-30
-166.9674542847206,2018-08-31
-105.73143371584592,2018-09-04
-2891.2469341125106,2018-09-05
39519.83706591796,2018-09-06
-35192.55617227167,2018-09-07
-1603.174191665661,2018-09-10
-1728.3539901733166,2018-09-11
147.130258819554,2018-09-12
854.0059280395508,2018-09-13
-1291.4703170470893,2018-09-14
44632.7975366211,2018-09-17
-30043.68054522702,2018-09-18
1515.6576525115524,2018-09-19
-1609.8289857177879,2018-09-20
-1755.2051357880118,2018-09-21
-342.8927520751604,2018-09-24
-3117.9641902923468,2018-09-25
-968.9161454772693,2018-09-26
42551.435837905854,2018-09-27
2655.4620802002028,2018-09-28
-28994.963810241665,2018-10-01
1382.3033558349125,2018-10-02
-302.5732134399004,2018-10-03
-1739.4289718627697,2018-10-04
-393.6996093139751,2018-10-05
-2466.729888122529,2018-10-08
-8243.297935058596,2018-10-09
48641.739197723335,2018-10-10
-40447.25562084955,2018-10-11
1254.6569471740513,2018-10-12
6022.26891085814,2018-10-15
6634.395409240737,2018-10-16
-3150.204264465312,2018-10-17
1903.179021759017,2018-10-18
41854.27836047363,2018-10-19
2092.7550390625256,2018-10-22
-42482.28950662236,2018-10-23
6163.9749360351125,2018-10-24
-2710.5894070737995,2018-10-25
2015.4073254241375,2018-10-26
5384.004655410652,2018-10-29
6441.414396881184,2018-10-30
1650.9846389770391,2018-10-31
44924.171030960046,2018-11-01
-35885.53312225337,2018-11-02
-465.3282917023171,2018-11-05
2395.424707382219,2018-11-06
301.4174477843917,2018-11-07
-8606.222616577114,2018-11-08
-17358.942231750523,2018-11-09
81000.78539799497,2018-11-12
-72005.79315338132,2018-11-13
1356.6340543060796,2018-11-14
-314.5885364685091,2018-11-15
-6029.608165664657,2018-11-16
-9486.959397628787,2018-11-19
1692.4135671844124,2018-11-20
113173.86383996584,2018-11-21
-96391.9783111572,2018-11-23
-118.15846862795297,2018-11-26
9726.93536584475,2018-11-27
-4011.3823514709948,2018-11-28
-6389.715271545399,2018-11-29
1303.5313020935282,2018-11-30
-10259.07926034549,2018-12-03
151217.70653839118,2018-12-04
-141272.5898671723,2018-12-06
-1765.8679785156273,2018-12-07
-3094.678822830203,2018-12-10
438.1315594787593,2018-12-11
-1092.2155423584045,2018-12-12
-4714.8005727386335,2018-12-13
133489.7822866821,2018-12-14
-6769.304084319971,2018-12-17
-99440.31567799381,2018-12-18
-3320.5240158081288,2018-12-19
-12645.124027420068,2018-12-20
-6117.421848983737,2018-12-21
12387.37448728946,2018-12-24
4288.474027557357,2018-12-26
-3946.0278450622573,2018-12-27
161408.28658631898,2018-12-28
-9046.417597656255,2018-12-31
-113704.52371707151,2019-01-02
9564.310740737885,2019-01-03
1765.5097218322917,2019-01-04
165.89704531861935,2019-01-07
2147.6354324340355,2019-01-08
-666.0097517394461,2019-01-09
152318.61042111204,2019-01-10
-132497.69274742127,2019-01-11
5325.659673431423,2019-01-14
38003.93870983884,2019-01-15
3784.0888259583153,2019-01-16
9269.953549194266,2019-01-17
-10743.226629699697,2019-01-18
-1746.6790811157553,2019-01-22
184853.807697342,2019-01-23
-162040.97863797005,2019-01-24
-2690.657351196278,2019-01-25
1889.5154067993863,2019-01-28
4844.065370178316,2019-01-29
-9437.78334065259,2019-01-30
-3111.045761932386,2019-01-31
175430.70986242674,2019-02-01
-4137.78117236332,2019-02-04
-142803.07735443115,2019-02-05
-7085.919750701869,2019-02-06
-4264.491938201943,2019-02-07
-2111.822243881179,2019-02-08
9325.555485687219,2019-02-11
502.0046883240575,2019-02-12
-4880.054867736879,2019-02-13
207342.30703147897,2019-02-14
-179575.41521107487,2019-02-15
-443.6470371093601,2019-02-19
-6395.503966171294,2019-02-20
-691.8963012695312,2019-02-21
5809.953116943245,2019-02-22
421.1162830507383,2019-02-25
-32.88643670664169,2019-02-26
123194.82955285639,2019-02-27
-113230.35038452141,2019-02-28
-5280.385275024339,2019-03-01
230.9642386016203,2019-03-04
-3218.0278295287862,2019-03-05
-5186.519113159156,2019-03-06
6688.611691284226,2019-03-07
2019.6196251830552,2019-03-08
157939.402317215,2019-03-11
-143933.69935144042,2019-03-12
719.0700362703064,2019-03-13
1536.6771787412,2019-03-14
12196.129726028536,2019-03-15
-3654.949159240932,2019-03-18
-19452.233769119135,2019-03-19
193162.23548376467,2019-03-20
-196985.12934875488,2019-03-21
-1391.4088033294538,2019-03-22
5871.114120483398,2019-03-25
-2142.5976237029536,2019-03-26
3516.6420693359105,2019-03-27
2379.96707427979,2019-03-28
14435.356726303115,2019-03-29
2307.2175339660607,2019-04-01
165473.52456152346,2019-04-02
-141928.2416122437,2019-04-03
377.68094668583944,2019-04-04
411.7283646239666,2019-04-05
-5003.50749206543,2019-04-08
6078.2480086212745,2019-04-09
-388.78441484074574,2019-04-10
67569.30703129596,2019-04-11
-69489.40248074371,2019-04-12
4711.019158478011,2019-04-15
15449.641976928688,2019-04-16
-4916.627384948777,2019-04-17
-3123.293493652367,2019-04-18
-1082.6691417235415,2019-04-22
-8116.259048461914,2019-04-23
81265.33777713007,2019-04-24
-69043.3303632508,2019-04-25
8215.649653885048,2019-04-26
-2528.7700351867825,2019-04-29
-2939.09372373973,2019-04-30
601.2241317749722,2019-05-01
6313.154203994782,2019-05-02
105414.67684326158,2019-05-03
-6745.644520492409,2019-05-06
-101017.31184013374,2019-05-07
1574.0732254028553,2019-05-08
1528.3411851350684,2019-05-09
-19286.354217483662,2019-05-10
3584.448790069553,2019-05-13
326.40984143072274,2019-05-14
141193.77792132564,2019-05-15
13357.2689240264,2019-05-16
-133797.70576179493,2019-05-17
6354.014851776068,2019-05-20
-10826.195718383766,2019-05-21
-11530.505492172204,2019-05-22
3406.448735671933,2019-05-23
-12207.456198471016,2019-05-24
189865.27860534668,2019-05-28
-182417.62630157475,2019-05-29
-15822.379470703076,2019-05-30
757.7058715820312,2019-05-31
22247.90338894655,2019-06-03
-4197.402959213243,2019-06-04
4262.8749923706055,2019-06-05
109.04819946282078,2019-06-06
221015.14535968017,2019-06-07
-194257.96743148798,2019-06-10
-15231.803232910112,2019-06-11
4163.937530517578,2019-06-12
962.0250854492188,2019-06-13
-2648.0488891601562,2019-06-14
14054.978916625958,2019-06-17
217245.36397216795,2019-06-18
-8434.054011077737,2019-06-19
-183714.00578926096,2019-06-20
4579.734950683545,2019-06-21
-5259.4996337890625,2019-06-24
2238.3528747558594,2019-06-25
8421.07254028297,2019-06-26
17684.454636902083,2019-06-27
7801.0236405334435,2019-06-28
159905.3048189697,2019-07-01
4417.138541870168,2019-07-02
-143900.43464978028,2019-07-03
-7446.652237594593,2019-07-05
7151.16286633315,2019-07-08
-6619.570134033333,2019-07-09
19978.016496658325,2019-07-10
9373.428618103033,2019-07-11
-8361.345114135765,2019-07-12
211554.99199066136,2019-07-15
-194753.44068450923,2019-07-16
3931.5582992555574,2019-07-17
-3193.6971823273925,2019-07-18
1460.8293563844636,2019-07-19
16601.929636413464,2019-07-22
7745.164958496229,2019-07-23
-5978.659517456428,2019-07-24
120615.21120849636,2019-07-25
-113000.32882041926,2019-07-26
2963.8699111938477,2019-07-29
-3439.6999801635975,2019-07-30
-23617.586565963808,2019-07-31
-6410.640220886096,2019-08-01
-22657.276480102562,2019-08-02
165282.0948455811,2019-08-05
-5620.375749053899,2019-08-06
-126129.41209716792,2019-08-07
-244.53104892000556,2019-08-08
-16262.848254394485,2019-08-09
8028.894316101214,2019-08-12
-27336.587277099607,2019-08-13
2019.9679168701405,2019-08-14
193520.74218597403,2019-08-15
-3111.695449096733,2019-08-16
-159650.9564744872,2019-08-19
2277.6226137541234,2019-08-20
5763.945577774197,2019-08-21
-21606.652674636804,2019-08-22
12259.375181762618,2019-08-23
-5783.973904907005,2019-08-26
8773.212832641439,2019-08-27
143694.65234222414,2019-08-28
-119238.73398071295,2019-08-29
-19035.66379809566,2019-08-30
10812.810952148517,2019-09-03
21263.887144134496,2019-09-04
636.0931343536358,2019-09-05
19525.585710372892,2019-09-06
107831.82502746582,2019-09-09
7245.677629089216,2019-09-10
-80071.54774475086,2019-09-11
4881.543338699383,2019-09-12
-10033.531071472215,2019-09-13
-4790.47192391986,2019-09-16
