account_rewards,date
149.97927156067453,2018-01-08
-126.71459533690359,2018-01-09
284.4754878540116,2018-01-10
4379.657599411032,2018-01-11
1133.74609375,2018-01-12
294.7156906128221,2018-01-16
877.8399768066301,2018-01-17
1935.6103018189024,2018-01-18
2495.0528954924957,2018-01-19
159.53479681396857,2018-01-22
3621.2056649475126,2018-01-23
-959.0077176513441,2018-01-24
1384.166082763637,2018-01-25
-394.31622741700266,2018-01-26
-6410.468567062344,2018-01-29
67.28199310298078,2018-01-30
-948.0125152588007,2018-01-31
11284.93807662971,2018-02-01
-7331.091563415539,2018-02-02
-2434.538446289109,2018-02-05
169.56113641359843,2018-02-06
-6534.670226074202,2018-02-07
3435.752277084335,2018-02-08
4049.3464195709676,2018-02-09
869.6615955199522,2018-02-12
25869.571243286162,2018-02-13
3855.3725614013674,2018-02-14
-16333.194001770025,2018-02-15
-2568.1430778350623,2018-02-16
-1474.9586944580078,2018-02-20
1895.7388389129774,2018-02-21
3006.852418609604,2018-02-22
3530.6934589233424,2018-02-23
-1292.9513874664262,2018-02-26
17106.21828530883,2018-02-27
-18422.762355804385,2018-02-28
719.8714252929203,2018-03-01
2866.754831909202,2018-03-02
-1971.9901893615897,2018-03-05
1035.973674011213,2018-03-06
-1676.082623291004,2018-03-07
31963.534187240584,2018-03-08
1630.8298553466448,2018-03-09
-18597.88924174491,2018-03-12
-1580.9894848480471,2018-03-13
3444.6645898742718,2018-03-14
-1492.4274971924315,2018-03-15
-3071.4377850799065,2018-03-16
1529.9452774200472,2018-03-19
-3250.533579620387,2018-03-20
15715.406765747088,2018-03-21
-18393.251711791992,2018-03-22
6240.316656112671,2018-03-23
-1509.5401138305606,2018-03-26
449.99142559812753,2018-03-27
-4511.139329528756,2018-03-28
3409.9037810668524,2018-03-29
28042.983611908043,2018-04-02
-12310.237539428781,2018-04-03
269.81265098572476,2018-04-04
-5700.909845397953,2018-04-05
-1371.551513671875,2018-04-06
4527.099609374971,2018-04-09
-5452.569580078096,2018-04-10
32844.36035156256,2018-04-11
-25811.386755966232,2018-04-12
6218.485216308589,2018-04-13
